--- 2D FFT Log Data (Range-Doppler Map) ---
RADAR_ANT_COUNT: 2
DOPPLER_POINTS: 64
RANGE_BINS_LOG: 20
-------------------------------------------

=== Antenna 0 Results ===
--- Ant 0 / Range Bin 0 Doppler FFT Results ---
  Doppler Bin 46: R=87.22, I=-9.19, Magnitude=87.70
  Doppler Bin 47: R=208.13, I=-31.05, Magnitude=210.43
  Doppler Bin 48: R=196.67, I=-221.84, Magnitude=296.47
  Doppler Bin 49: R=95.45, I=-41.08, Magnitude=103.92
  Doppler Bin 50: R=72.86, I=-6.82, Magnitude=73.18
  Doppler Bin 51: R=17.94, I=199.85, Magnitude=200.65
  Doppler Bin 52: R=70.24, I=-5.12, Magnitude=70.43
  Doppler Bin 53: R=-104.90, I=93.62, Magnitude=140.60
  Doppler Bin 54: R=-85.91, I=102.84, Magnitude=134.00
  Doppler Bin 55: R=194.30, I=-94.80, Magnitude=216.20
  Doppler Bin 56: R=54.87, I=-126.94, Magnitude=138.29
  Doppler Bin 57: R=45.67, I=1.30, Magnitude=45.69
  Doppler Bin 58: R=-133.48, I=94.96, Magnitude=163.81
  Doppler Bin 59: R=367.59, I=92.76, Magnitude=379.11
  Doppler Bin 60: R=-3.97, I=-250.02, Magnitude=250.05
  Doppler Bin 61: R=-139.60, I=79.90, Magnitude=160.85
  Doppler Bin 62: R=24.94, I=70.63, Magnitude=74.90
  Doppler Bin 63: R=-49.15, I=100.50, Magnitude=111.87

--- Ant 0 / Range Bin 3 Doppler FFT Results ---
  Doppler Bin 0: R=278.96, I=-229.32, Magnitude=361.11
  Doppler Bin 1: R=160.81, I=-109.55, Magnitude=194.58
  Doppler Bin 2: R=-83.37, I=-249.77, Magnitude=263.32
  Doppler Bin 3: R=-148.51, I=106.51, Magnitude=182.76
  Doppler Bin 4: R=-180.45, I=173.08, Magnitude=250.04
  Doppler Bin 5: R=4.93, I=-38.39, Magnitude=38.71
  Doppler Bin 6: R=-13.42, I=79.38, Magnitude=80.51
  Doppler Bin 7: R=-186.32, I=-106.17, Magnitude=214.45
  Doppler Bin 8: R=46.85, I=-111.55, Magnitude=120.99
  Doppler Bin 9: R=-60.45, I=13.22, Magnitude=61.88
  Doppler Bin 10: R=399.04, I=-21.62, Magnitude=399.63
  Doppler Bin 11: R=-194.78, I=-4.96, Magnitude=194.84
  Doppler Bin 12: R=-126.89, I=241.76, Magnitude=273.04
  Doppler Bin 13: R=275.86, I=75.96, Magnitude=286.13
  Doppler Bin 14: R=-98.92, I=89.69, Magnitude=133.52
  Doppler Bin 15: R=18.49, I=25.26, Magnitude=31.30
  Doppler Bin 16: R=21.08, I=-53.36, Magnitude=57.37
  Doppler Bin 17: R=-249.03, I=-200.44, Magnitude=319.67
  Doppler Bin 18: R=36.98, I=-192.54, Magnitude=196.06
  Doppler Bin 19: R=66.40, I=-38.80, Magnitude=76.91
  Doppler Bin 20: R=-38.47, I=-329.79, Magnitude=332.02
  Doppler Bin 21: R=-295.67, I=-44.88, Magnitude=299.06
  Doppler Bin 22: R=-113.86, I=69.52, Magnitude=133.40
  Doppler Bin 23: R=227.12, I=128.85, Magnitude=261.12
  Doppler Bin 24: R=49.07, I=207.54, Magnitude=213.26
  Doppler Bin 25: R=-23.77, I=-88.48, Magnitude=91.62
  Doppler Bin 26: R=91.51, I=91.64, Magnitude=129.50
  Doppler Bin 27: R=198.44, I=165.52, Magnitude=258.41
  Doppler Bin 28: R=-7.63, I=92.80, Magnitude=93.12
  Doppler Bin 29: R=99.33, I=-270.60, Magnitude=288.26
  Doppler Bin 30: R=-146.55, I=148.85, Magnitude=208.88
  Doppler Bin 31: R=-48.45, I=88.97, Magnitude=101.30
