--- DC Removal Log Data (Post-Clutter Removal) ---
RADAR_ANT_COUNT: 2
RADAR_CHIRP_COUNT: 64
FFT Range Bins (Output): 64
-------------------------------------

--- Ant 0 / Chirp 0 FFT Results (Post-DC) ---
  Range Bin 19: R=-9.52, I=0.66, Magnitude=9.55
  Range Bin 20: R=-497.43, I=-262.66, Magnitude=562.52
  Range Bin 21: R=-4.63, I=-112.27, Magnitude=112.36
  Range Bin 22: R=-68.67, I=79.63, Magnitude=105.15
  Range Bin 23: R=374.19, I=92.05, Magnitude=385.35
  Range Bin 24: R=-113.90, I=-365.76, Magnitude=383.08
  Range Bin 25: R=-48.39, I=253.49, Magnitude=258.07
  Range Bin 26: R=-77.62, I=16.25, Magnitude=79.30
  Range Bin 27: R=88.29, I=-13.72, Magnitude=89.35
  Range Bin 28: R=-33.36, I=31.51, Magnitude=45.89
  Range Bin 29: R=-15.35, I=-58.41, Magnitude=60.39
  Range Bin 30: R=135.26, I=44.67, Magnitude=142.45
  Range Bin 31: R=-129.44, I=5.91, Magnitude=129.57
  Range Bin 32: R=-35.84, I=-73.18, Magnitude=81.49
  Range Bin 33: R=170.46, I=17.58, Magnitude=171.36
  Range Bin 34: R=-102.21, I=-26.97, Magnitude=105.71
  Range Bin 35: R=-25.59, I=60.79, Magnitude=65.96
  Range Bin 36: R=-59.18, I=-22.84, Magnitude=63.44
  Range Bin 37: R=260.59, I=-78.54, Magnitude=272.17
  Range Bin 38: R=-324.18, I=100.98, Magnitude=339.55
  Range Bin 39: R=29.95, I=10.92, Magnitude=31.88
  Range Bin 40: R=121.02, I=-113.24, Magnitude=165.74
  Range Bin 41: R=-71.73, I=98.16, Magnitude=121.58
  Range Bin 42: R=43.89, I=-48.70, Magnitude=65.56
  Range Bin 43: R=12.40, I=-75.86, Magnitude=76.86
  Range Bin 44: R=-51.70, I=274.55, Magnitude=279.38
  Range Bin 45: R=-87.65, I=-188.29, Magnitude=207.69
  Range Bin 46: R=157.35, I=-102.70, Magnitude=187.89
  Range Bin 47: R=-100.86, I=126.53, Magnitude=161.81
  Range Bin 48: R=67.05, I=-33.47, Magnitude=74.93
  Range Bin 49: R=25.83, I=70.87, Magnitude=75.43
  Range Bin 50: R=-92.43, I=-46.62, Magnitude=103.52
  Range Bin 51: R=34.52, I=-78.66, Magnitude=85.90
  Range Bin 52: R=-57.07, I=112.04, Magnitude=125.74
  Range Bin 53: R=81.21, I=-82.94, Magnitude=116.08
  Range Bin 54: R=-62.50, I=41.09, Magnitude=74.80
  Range Bin 55: R=-28.14, I=-29.18, Magnitude=40.54
  Range Bin 56: R=5.30, I=29.30, Magnitude=29.78
  Range Bin 57: R=-9.17, I=-15.85, Magnitude=18.31
  Range Bin 58: R=100.72, I=-9.69, Magnitude=101.19
  Range Bin 59: R=-138.86, I=-39.47, Magnitude=144.36
  Range Bin 60: R=57.82, I=45.03, Magnitude=73.29
  Range Bin 61: R=-22.26, I=-17.06, Magnitude=28.05
  Range Bin 62: R=25.20, I=37.63, Magnitude=45.29
  Range Bin 63: R=-132.06, I=-58.49, Magnitude=144.43

--- Ant 0 / Chirp 3 FFT Results (Post-DC) ---
  Range Bin 0: R=-30.84, I=0.00, Magnitude=30.84
  Range Bin 1: R=28.95, I=-41.40, Magnitude=50.52
  Range Bin 2: R=-36.24, I=-13.38, Magnitude=38.63
  Range Bin 3: R=25.66, I=3.07, Magnitude=25.84
  Range Bin 4: R=21.25, I=33.68, Magnitude=39.82
  Range Bin 5: R=-63.65, I=17.18, Magnitude=65.93
  Range Bin 6: R=30.27, I=-36.24, Magnitude=47.22
  Range Bin 7: R=-19.37, I=15.85, Magnitude=25.03
  Range Bin 8: R=5.37, I=-23.08, Magnitude=23.69
  Range Bin 9: R=-33.01, I=3.05, Magnitude=33.15
  Range Bin 10: R=37.03, I=5.82, Magnitude=37.48
  Range Bin 11: R=61.82, I=47.09, Magnitude=77.72
  Range Bin 12: R=-88.15, I=-76.20, Magnitude=116.52
  Range Bin 13: R=4.62, I=39.47, Magnitude=39.74
  Range Bin 14: R=14.85, I=-15.96, Magnitude=21.80
  Range Bin 15: R=-5.45, I=-32.62, Magnitude=33.07
  Range Bin 16: R=21.33, I=-9.43, Magnitude=23.33
  Range Bin 17: R=-31.83, I=64.01, Magnitude=71.49
  Range Bin 18: R=61.16, I=-33.74, Magnitude=69.85
  Range Bin 19: R=-7.41, I=1.54, Magnitude=7.57
  Range Bin 20: R=-488.67, I=-332.84, Magnitude=591.26
  Range Bin 21: R=17.53, I=-89.22, Magnitude=90.93
  Range Bin 22: R=-79.79, I=99.16, Magnitude=127.27
  Range Bin 23: R=393.84, I=104.89, Magnitude=407.57
  Range Bin 24: R=-143.41, I=-370.23, Magnitude=397.04
  Range Bin 25: R=-15.63, I=279.08, Magnitude=279.52
  Range Bin 26: R=-64.22, I=29.20, Magnitude=70.55
  Range Bin 27: R=66.53, I=-55.89, Magnitude=86.89
  Range Bin 28: R=6.27, I=-12.78, Magnitude=14.24
  Range Bin 29: R=-67.38, I=-18.18, Magnitude=69.79
  Range Bin 30: R=129.34, I=113.86, Magnitude=172.31
  Range Bin 31: R=-77.32, I=-71.48, Magnitude=105.30
  Range Bin 32: R=-48.99, I=-35.17, Magnitude=60.30
  Range Bin 33: R=110.58, I=3.07, Magnitude=110.62
  Range Bin 34: R=-73.47, I=-12.30, Magnitude=74.49
  Range Bin 35: R=-54.07, I=69.90, Magnitude=88.38
  Range Bin 36: R=-46.26, I=-63.97, Magnitude=78.95
  Range Bin 37: R=279.37, I=4.97, Magnitude=279.42
  Range Bin 38: R=-347.88, I=35.64, Magnitude=349.70
  Range Bin 39: R=124.28, I=-5.28, Magnitude=124.39
  Range Bin 40: R=30.33, I=-62.76, Magnitude=69.70
  Range Bin 41: R=-35.61, I=95.06, Magnitude=101.51
  Range Bin 42: R=41.35, I=-55.96, Magnitude=69.58
  Range Bin 43: R=-10.12, I=-113.55, Magnitude=114.00
  Range Bin 44: R=-46.60, I=324.06, Magnitude=327.39
  Range Bin 45: R=-50.92, I=-184.38, Magnitude=191.28
  Range Bin 46: R=66.00, I=-46.55, Magnitude=80.76
  Range Bin 47: R=-34.55, I=8.07, Magnitude=35.48
  Range Bin 48: R=74.82, I=-15.68, Magnitude=76.45
  Range Bin 49: R=-6.91, I=51.11, Magnitude=51.57
  Range Bin 50: R=-27.41, I=-14.36, Magnitude=30.94
  Range Bin 51: R=33.41, I=-57.09, Magnitude=66.15
  Range Bin 52: R=-83.96, I=36.75, Magnitude=91.65
  Range Bin 53: R=60.49, I=0.38, Magnitude=60.49
  Range Bin 54: R=-2.78, I=34.75, Magnitude=34.86
  Range Bin 55: R=-70.00, I=-66.04, Magnitude=96.23
  Range Bin 56: R=51.58, I=83.77, Magnitude=98.37
